"EMPRESA: 
Razón social (nombre de la empresa)","EMPRESA: 
RFC","EMPRESA: 
Folio mercantil","EMPRESA: 
Objeto social (descripción de actividades)","EMPRESA: 
Número de empleados","EMPRESA: 
Fecha de creación (dd/mm/aaaa)","EMPRESA: 
Capital social mínimo (con cuánto dinero se registró la empresa)","EMPRESA: 
Dirección fiscal","EMPRESA: 
Latitud y longitud (separadas por coma)","EMPRESA: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","EMPRESA: 
Teléfono","EMPRESA: 
Web","EMPRESA: 
Correo electrónico","REP LEGAL: 
Nombre completo","REP LEGAL: 
RFC","REP LEGAL: 
Dirección","REP LEGAL: 
Latitud y longitud (separadas por coma)","REP LEGAL: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","REP LEGAL: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","REP LEGAL: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","ACCIONISTAS: 
Nombre completo (separar nombres con punto y coma)","ACCIONISTAS:
RFC","ACCIONISTAS: 
Dirección","ACCIONISTAS: 
Latitud y longitud (separadas por coma)","ACCIONISTAS: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","ACCIONISTAS: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","ACCIONISTAS: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","ACCIONISTAS: 
Capital aportado","ADMIN: 
Nombre completo","ADMIN: 
RFC","ADMIN: 
Dirección","ADMIN: 
Latitud y longitud (separadas por coma)","ADMIN: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","ADMIN: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","ADMIN: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","COMIS / CONSE: 
Nombre completo","COMIS / CONSE: 
RFC","COMIS / CONSE: 
Dirección","COMIS / CONSE: 
Latitud y longitud (separadas por coma)","COMIS / CONSE: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","COMIS / CONSE: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","COMIS / CONSE: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","NOTARIA: 
Nombre del notario que firma el acta","NOTARIA: 
Número de la notaría","NOTARIA: 
Dirección de la notaría","NOTARIA: 
Latitud y longitud (separadas por coma)","NOTARIA: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","INFO OFICIAL: 
Estatus CompraNet (InscritoRUPC, NoInscritoRUPC, RegCompraNet)","INFO OFICIAL: 
Empresa fantasma o no localizada (SATdefinitiva, SATpresunta, SATdesvirtuada, SATfavorable, ASFnoLocalizada, SinAntReg)","CONTRATO: 
Empresa, dependencia o instancia que otorga los recursos","CONTRATO: 
Número de contrato","CONTRATO: 
Fecha de inicio de contrato","CONTRATO: 
Fecha de término de contrato","CONTRATO: 
Servicio/obra realizada","CONTRATO: 
Nombre de la persona que firma","CONTRATO: 
Cargo de la persona que firma","CONTRATO: 
Montos de contratos individuales","CONTRATO: 
Número de licitación ","CONTRATO: 
Fecha de fallo de la licitación","CONTRATO: 
Monto total de la licitación","CONVENIO: 
Dependencia o instancia que OTORGA los recursos","CONVENIO: 
Dependencia o instancia que RECIBE los recursos","CONVENIO: 
Número de convenio","CONVENIO: 
Fecha de inicio de convenio","CONVENIO: 
Fecha de término convenio","CONVENIO: 
Objeto del convenio","CONVENIO: 
Nombre de la persona que firma (de la dependencia o instancia que OTORGA los recursos)","CONVENIO: 
Cargo de la persona que firma (de la dependencia o instancia que OTORGA los recursos)","CONVENIO: 
Nombre de la persona que firma (de la dependencia o instancia que RECIBE los recursos)","CONVENIO: 
Cargo de la persona que firma (de la dependencia o instancia que RECIBE los recursos)","CONVENIO: 
Monto total del convenio","CONVENIO: 
Nombre del titular de la dependencia o instancia que otorga los recurso","CONVENIO: 
Nombre del titular de la dependencia o instancia que recibe los recurso","TRANSFERENCIA DEPENDENCIA O INSTANCIA: 
Dependencia o instancia que otorga los recursos","TRANSFERENCIA DEPENDENCIA O INSTANCIA: 
Monto de transferencias individuales","TRANSFERENCIA DEPENDENCIA O INSTANCIA: 
Número de convenio relacionado a esta transferencia","TRANSFERENCIAS A ESTA EMPRESA: 
Empresa que otorga los recursos","TRANSFERENCIAS A ESTA EMPRESA: 
Monto de transferencias individuales","TRANSFERENCIAS DE ESTA EMPRESA: 
Empresa a la que le transfirió esta empresa","TRANSFERENCIAS DE ESTA EMPRESA: 
Monto de transferencias individuales","OTRO: 
Otras empresas relacionadas a esta empresa (separar con punto y coma)","OTRO: 
Otras personas relacionadas a esta empresa (separar con punto y coma)","OTRO: 
Otros domicilios relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros RFC relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otras fechas relacionadas a esta empresa (separar con punto y coma)","OTRO: 
Otros correos electrónicos relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros sitios web relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros teléfonos relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros números de contratos o convenios relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otras dependencias o instancias relacionadas a esta empresa (separar con punto y coma","OTRO: 
Montos recibidos","OTRO: 
Titulares de instancias de montos recibidos","OTRO: 
Montos otorgados","NUEVO: 
Nombre de la categoría (separar con punto y coma)","NUEVO: 
Contenido (separar con punto y coma)","OTRO: 
Comentarios adicionales (formato de escritura: libre)"
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,980801128,,,,,,,,Eje cafetero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"530,097,118",,,SUPERVISOR; MACROSECTOR,SUPERSERVICIOS; SERVICIOS,
CRISTALERIA PELDAR S.A                                                                              ,890900118,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"498,057,190",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
GASEOSAS LUX SAS,860001697,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,553,336",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
ETICOS SERRANO GOMEZ LTDA                                                                           ,892300678,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,314,875",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
ACERIAS DE COLOMBIA  ACESCO S A S,860026753,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,669,947",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
ABBOTT LABORATORIES DE COLOMBIA S A,860002134,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451,064,019",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
CONSTRUCCIONES EL CONDOR S.A,890922447,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"921,474,112",,,SUPERVISOR; MACROSECTOR,SUPERFINANCIERA; CONSTRUCCIÓN,
COMERCIALIZADORA INTERNACIONAL  MILPA S. A..,860513970,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"222,830,760",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MINERO,
LOUIS DREYFUS COMMODITIES COLOMBIA  S.A.S,900174478,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,596,425",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
KUEHNE & NAGEL S.A.S.                                                                                 ,800039996,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,191,891",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,890500514,,,,,,,,Centro Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,407,920",,,SUPERVISOR; MACROSECTOR,SUPERSERVICIOS; SERVICIOS,
STF GROUP S.A. ,805003626,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,097,096",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
DETERGENTES LTDA,860007955,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,632,164",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
C I COLOMBIAN NATURAL RESOURCES I S.A.S.,900333530,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,590,874",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MINERO,
TENARIS TUBOCARIBE LTDA                                             ,800011987,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"410,055,990",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
MINCIVIL SA ,890930545,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"555,220,130",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; CONSTRUCCIÓN,
DIAGEO COLOMBIA S A,830006051,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,604,997",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
FAMILIA DEL PACIFICO S.A.S                                 ,817000680,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"334,559,107",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
ORACLE COLOMBIA LIMITADA,800103052,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,503,243",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
DOW QUIMICA DE COLOMBIA S A,860014659,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,045,919",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
COMPAÑIA CAFETERA LA MESETA S.A. ,900298861,,,,,,,,Eje Cafetero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,570,721",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
PORSCHE COLOMBIA SAS,900466209,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,128,028",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
CEPSA COLOMBIA S A,830080672,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,331,031,553",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MINERO,
PANAMERICANA LIBRERIA Y PAPELERIA S A,830037946,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"582,876,024",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
ADMINEGOCIOS & CIA S C A ,830113598,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,156,584,245",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
BIMBO DE COLOMBIA S A,830002366,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"348,214,733",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
COMPOUNDING AND MASTERBATCHING INDUSTRY LIMITADA,800134853,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,580,375",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
NEXSYS DE COLOMBIA S.A.,800035776,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,461,392",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
NOVARTIS DE COLOMBIA S A,860002538,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,435,992",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
ALIMENTOS BALANCEADOS TEQUENDAMA S.A.                                                               ,800149149,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,585,464",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
COMPAÑIA COLOMBIANA DE TABACO S A S,890900043,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,448,154",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
WEATHERFORD COLOMBIA LIMITED                                          ,800230209,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380,066,742",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MINERO,
DOW AGROSCIENCES DE COLOMBIA S.A.                                                                   ,800087795,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,721,656",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
CCF CAJACOPI ATLÁNTICO,890102044,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,987,409",,,SUPERVISOR; MACROSECTOR,SUPERSALUD; SERVICIOS,
HALLIBURTON LATIN AMERICA S R L SUCURSAL COLOMBIA,860051812,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"399,953,263",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MINERO,
AVIDESA DE OCCIDENTE S.A.,815000863,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,460,978",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; AGROPECUARIO,
ADIDAS COLOMBIA LIMITADA                                              ,805011074,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-45,422,402",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
HOLCIM  (COLOMBIA) S.A.                                                  ,860009808,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,835,485",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA S.A.,811017000,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,095,307",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
LABORATORIOS BAXTER S.A.,890300292,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"593,663,720",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
ZANDOR  CAPITAL  S A  COLOMBIA,900306309,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"336,489,346",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MINERO,
C.I. UNION DE BANANEROS DE URABA S.A. - UNIBAN,890904224,,,,,,,,ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"587,622,000",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
IPS DE UNIVERSIDAD DE ANTIOQUIA IPS UNIVERSITARIA,811016192,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,626,104",,,SUPERVISOR; MACROSECTOR,SUPERSALUD; SERVICIOS,
OPERADORA AVICOLA COLOMBIA S A S ,891401858,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"203,313,312",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; AGROPECUARIO,
COMERCIALIZADORA INTERNACIONAL BANACOL DE COLOMBIA S A                            ,890926766,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,568,311",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
BRITISH AMERICAN TOBACCO COLOMBIA S.A.S,900462511,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,303,490",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
RENTING COLOMBIA S A,811011779,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294,379,051",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
OLEODUCTO DE COLOMBIA S.A.*,800068713,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"351,308,199",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
TELEPERFORMANCE COLOMBIA SAS,900323853,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,635,343",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
CRUZ BLANCA EPS S.A.,830009783,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-265,582,349",,,SUPERVISOR; MACROSECTOR,SUPERSALUD; SERVICIOS,
NOVAVENTA S A S,811025289,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,395,954",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
LENOVO (ASIA PACIFIC) LIMITED SUCURSAL COLOMBIA,900030538,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-20,634,871",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
EFECTIVO LTDA,830131993,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,165,634",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
ORGANIZACION CLINICA GENERAL DEL NORTE,890102768,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260,054,873",,,SUPERVISOR; MACROSECTOR,SUPERSALUD; SERVICIOS,
GENERAL DE EQUIPOS DE COLOMBIA S A ,860002576,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,631,050",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
BRINSA S A,800221789,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"303,770,896",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
CINE COLOMBIA S. A.,890900076,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"394,638,158",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; SERVICIOS,
MAYAGUEZ S A,890302594,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"490,457,134",,,SUPERVISOR; MACROSECTOR,SUPERFINANCIERA; AGROPECUARIO,
ALMACENES FLAMINGO S A,890914526,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189,895,690",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; COMERCIO,
C.I.  BIOCOSTA S.A.,900138670,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,584,549",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
MEXICHEM COLOMBIA SAS ,860005050,,,,,,,,Bogotá - Cundinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"318,865,544",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
SOCIEDAD DE COMERCIALIZACION INTERNACIONAL LEONISA S.A.,811044814,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,653,892",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
C.I. ENERGIA SOLAR S.A. ES WINDOWS                                                                  ,890112475,,,,,,,,Otras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"246,912,733",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
COMPAÑIA GLOBAL DE PINTURAS S.A.,890900148,,,,,,,,Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"299,243,943",,,SUPERVISOR; MACROSECTOR,SUPERSOCIEDADES; MANUFACTURA,
