"EMPRESA: 
Razón social (nombre de la empresa)","EMPRESA: 
RFC","EMPRESA: 
Folio mercantil","EMPRESA: 
Objeto social (descripción de actividades)","EMPRESA: 
Número de empleados","EMPRESA: 
Fecha de creación (dd/mm/aaaa)","EMPRESA: 
Capital social mínimo (con cuánto dinero se registró la empresa)","EMPRESA: 
Dirección fiscal","EMPRESA: 
Latitud y longitud (separadas por coma)","EMPRESA: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","EMPRESA: 
Teléfono","EMPRESA: 
Web","EMPRESA: 
Correo electrónico","REP LEGAL: 
Nombre completo","REP LEGAL: 
RFC","REP LEGAL: 
Dirección","REP LEGAL: 
Latitud y longitud (separadas por coma)","REP LEGAL: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","REP LEGAL: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","REP LEGAL: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","ACCIONISTAS: 
Nombre completo (separar nombres con punto y coma)","ACCIONISTAS:
RFC","ACCIONISTAS: 
Dirección","ACCIONISTAS: 
Latitud y longitud (separadas por coma)","ACCIONISTAS: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","ACCIONISTAS: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","ACCIONISTAS: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","ACCIONISTAS: 
Capital aportado","ADMIN: 
Nombre completo","ADMIN: 
RFC","ADMIN: 
Dirección","ADMIN: 
Latitud y longitud (separadas por coma)","ADMIN: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","ADMIN: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","ADMIN: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","COMIS / CONSE: 
Nombre completo","COMIS / CONSE: 
RFC","COMIS / CONSE: 
Dirección","COMIS / CONSE: 
Latitud y longitud (separadas por coma)","COMIS / CONSE: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","COMIS / CONSE: 
Nombre de la dependencia donde fue funcionario (si es que aplica)","COMIS / CONSE: 
Último año en activo de la dependencia donde fue funcionario (si es que aplica)","NOTARIA: 
Nombre del notario que firma el acta","NOTARIA: 
Número de la notaría","NOTARIA: 
Dirección de la notaría","NOTARIA: 
Latitud y longitud (separadas por coma)","NOTARIA: 
Entidad Federativa (llena esta columna sólo si no tienes la dirección y/o la coordenada geográfica)","INFO OFICIAL: 
Estatus CompraNet (InscritoRUPC, NoInscritoRUPC, RegCompraNet)","INFO OFICIAL: 
Empresa fantasma o no localizada (SATdefinitiva, SATpresunta, SATdesvirtuada, SATfavorable, ASFnoLocalizada, SinAntReg)","CONTRATO: 
Empresa, dependencia o instancia que otorga los recursos","CONTRATO: 
Número de contrato","CONTRATO: 
Fecha de inicio de contrato","CONTRATO: 
Fecha de término de contrato","CONTRATO: 
Servicio/obra realizada","CONTRATO: 
Nombre de la persona que firma","CONTRATO: 
Cargo de la persona que firma","CONTRATO: 
Montos de contratos individuales","CONTRATO: 
Número de licitación ","CONTRATO: 
Fecha de fallo de la licitación","CONTRATO: 
Monto total de la licitación","CONVENIO: 
Dependencia o instancia que OTORGA los recursos","CONVENIO: 
Dependencia o instancia que RECIBE los recursos","CONVENIO: 
Número de convenio","CONVENIO: 
Fecha de inicio de convenio","CONVENIO: 
Fecha de término convenio","CONVENIO: 
Objeto del convenio","CONVENIO: 
Nombre de la persona que firma (de la dependencia o instancia que OTORGA los recursos)","CONVENIO: 
Cargo de la persona que firma (de la dependencia o instancia que OTORGA los recursos)","CONVENIO: 
Nombre de la persona que firma (de la dependencia o instancia que RECIBE los recursos)","CONVENIO: 
Cargo de la persona que firma (de la dependencia o instancia que RECIBE los recursos)","CONVENIO: 
Monto total del convenio","CONVENIO: 
Nombre del titular de la dependencia o instancia que otorga los recurso","CONVENIO: 
Nombre del titular de la dependencia o instancia que recibe los recurso","TRANSFERENCIA DEPENDENCIA O INSTANCIA: 
Dependencia o instancia que otorga los recursos","TRANSFERENCIA DEPENDENCIA O INSTANCIA: 
Monto de transferencias individuales","TRANSFERENCIA DEPENDENCIA O INSTANCIA: 
Número de convenio relacionado a esta transferencia","TRANSFERENCIAS A ESTA EMPRESA: 
Empresa que otorga los recursos","TRANSFERENCIAS A ESTA EMPRESA: 
Monto de transferencias individuales","TRANSFERENCIAS DE ESTA EMPRESA: 
Empresa a la que le transfirió esta empresa","TRANSFERENCIAS DE ESTA EMPRESA: 
Monto de transferencias individuales","OTRO: 
Otras empresas relacionadas a esta empresa (separar con punto y coma)","OTRO: 
Otras personas relacionadas a esta empresa (separar con punto y coma)","OTRO: 
Otros domicilios relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros RFC relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otras fechas relacionadas a esta empresa (separar con punto y coma)","OTRO: 
Otros correos electrónicos relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros sitios web relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros teléfonos relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otros números de contratos o convenios relacionados a esta empresa (separar con punto y coma)","OTRO: 
Otras dependencias o instancias relacionadas a esta empresa (separar con punto y coma","OTRO: 
Montos recibidos","OTRO: 
Titulares de instancias de montos recibidos","OTRO: 
Montos otorgados","NUEVO: 
Nombre de la categoría (separar con punto y coma)","NUEVO: 
Contenido (separar con punto y coma)","OTRO: 
Comentarios adicionales (formato de escritura: libre)"
COMERCIALIZADORA PREMIER DEL SURESTE SA DE CV,CPS150925HCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,02/03/2016 10:35:08.000,,,,,580.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,617B8EA7-EB8C-45EF-9DCD-3BBFE4E42268,BANCO DE SANGRE
COMERCIALIZADORA PREMIER DEL SURESTE SA DE CV,CPS150925HCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,02/03/2016 10:40:38.000,,,,,"1,334.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,4DD1478E-87BC-4B47-A47F-46359916E551,BANCO DE SANGRE
COMERCIALIZADORA PREMIER DEL SURESTE SA DE CV,CPS150925HCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,10/03/2016 12:20:30.000,,,,,"6,960.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,6A4573AF-1853-4818-AB25-0B022122D92A,BANCO DE SANGRE
COMERCIALIZADORA PREMIER DEL SURESTE SA DE CV,CPS150925HCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,24/06/2016 10:40:08.000,,,,,"1,102.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,5C6B51EA-C615-4B24-A21D-4BE25ED7534F,BANCO DE SANGRE
COMERCIALIZADORA GRUPO ALFIL DEL SURESTE S.A. DE C.V.,CGA1607213B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,05/09/2017 10:31:49.000,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,13130970-D13B-4491-81AB-3A6C35642BC0,CENTRO DE SALUD OCOZOCOAUTLA
COMERCIALIZADORA PREMIER DEL SURESTE SA DE CV,CPS150925HCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,11/08/2016 11:14:50.000,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,B3754AC6-D965-430C-BB98-406869B3069F,CENTRO DE SALUD OCOZOCOAUTLA
GRUPO SOLUCION MERCANTIL DE MEXICO S.A. DE C.V.,GSM1112233X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,23/05/2014 10:47:30.000,,,,,258.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,78B84098-0EAD-4BF3-98D0-46C60DD3A445,HOSPITAL ÁNGEL ALBINO CORZO
GRUPO SOLUCION MERCANTIL DE MEXICO S.A. DE C.V.,GSM1112233X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,09/05/2014 10:59:46.000,,,,,258.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,F1BC14B6-837B-4D76-9C21-30BD18181BB5,HOSPITAL ÁNGEL ALBINO CORZO
GRUPO SOLUCION MERCANTIL DE MEXICO S.A. DE C.V.,GSM1112233X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,09/05/2014 11:02:33.000,,,,,258.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,186AD87C-6915-4425-B6F9-8EA991E8EECB,HOSPITAL ÁNGEL ALBINO CORZO
GRUPO SOLUCION MERCANTIL DE MEXICO S.A. DE C.V.,GSM1112233X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,09/05/2014 11:01:01.000,,,,,258.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,7DC76185-1BF4-43D0-ABBD-FCA39249AB82,HOSPITAL ÁNGEL ALBINO CORZO
GRUPO SOLUCION MERCANTIL DE MEXICO S.A. DE C.V.,GSM1112233X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,09/05/2014 10:58:01.000,,,,,258.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,BFEE4CBD-E213-4861-9A1A-EFA17CECEDAF,HOSPITAL ÁNGEL ALBINO CORZO
GRUPO SOLUCION MERCANTIL DE MEXICO S.A. DE C.V.,GSM1112233X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO DE SALUD,,08/05/2014 13:14:59.000,,,,,248.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOLIO FISCAL,082E8D87-0353-4960-8C9B-55A96CDB79C1,HOSPITAL ÁNGEL ALBINO CORZO
